id,name,published,meta_description
1,"Horgenglarus – 1-380 Classic",ja,"Der klassische Stuhl 1-380 von horgenglarus aus massivem Holz – Schweizer Stuhlbau-Tradition, zeitlos, robust und bequem. Jetzt bei Hobel."
2,"Single + in Ahorn",ja,"Single + in Ahorn: kompakter Ausziehtisch für kleine Räume. Mit drei Handgriffen verdoppelt er sich und bietet Platz für sechs Personen."
3,"Tablett – Nussbaum / Schwarz",ja,"Serviertablett aus Nussbaum mit schwarzem Linoleum, entworfen von Stefan Zwicky. Vielseitig als Tablett oder Beistelltisch nutzbar. Bei Hobel."
4,"Horgenglarus – Péclard Hocker – 11-020",ja,"Péclard Hocker 11-020 von horgenglarus – stabiler Massivholz-Hocker aus Schweizer Produktion. Schlicht, solide und vielseitig einsetzbar."
5,"Horgenglarus – Lyra Esprit 6-550",ja,"Lyra Esprit 6-550 von horgenglarus: eleganter Massivholzstuhl aus Schweizer Stuhlbau-Tradition. Zeitloses Design für Esszimmer und Gastronomie."
6,"Horgenglarus – Lyra Mandarin 6-540a",ja,"Lyra Mandarin 6-540a von horgenglarus – gepolsterter Armlehnstuhl aus Massivholz. Komfortables Sitzen mit klassischer Schweizer Handwerkskunst."
7,"Horgenglarus – Moser 1-256",ja,"Moser 1-256 von horgenglarus: Schweizer Designklassiker aus massivem Holz. Reduzierte Form, höchste Verarbeitung – jetzt bei Hobel."
8,"Horgenglarus – Safran 1-180",ja,"Safran 1-180 von horgenglarus – leichter, stapelbarer Massivholzstuhl. Schweizer Stuhlbau-Tradition für Küche, Esszimmer und Gastronomie."
9,"Horgenglarus – Select 1-370",ja,"Select 1-370 von horgenglarus: zeitloser Massivholzstuhl aus Schweizer Produktion. Klare Linien, solide Verarbeitung – jetzt bei Hobel."
10,"Horgenglarus – Esposito 8-360",ja,"Esposito 8-360 von horgenglarus – eleganter Massivholzstuhl mit feiner Linienführung. Schweizer Stuhlbau-Tradition, jetzt bei Hobel."
11,"Horgenglarus – GA Stuhl 7-070",ja,"GA Stuhl 7-070 von horgenglarus: Designklassiker aus massivem Holz. Schweizer Handwerkskunst und zeitlose Eleganz für jedes Esszimmer."
12,"Horgenglarus - ggw 8-100",ja,"ggw 8-100 von horgenglarus – schlichter, stapelbarer Massivholzstuhl. Bewährte Schweizer Stuhlbau-Qualität für Küche und Esszimmer."
13,"Rahmen «Jean» – Eiche",ja,"Bilderrahmen «Jean» aus massiver Eiche, handgefertigt von Hobel. Schlichtes Holzprofil, das Ihre Bilder und Fotos stilvoll in Szene setzt."
14,"Rahmen Allemann",ja,"Bilderrahmen Allemann aus Holz, handwerklich gefertigt von Hobel. Klassisches Profil in verschiedenen Grössen für Bilder und Kunstdrucke."
15,"Schneidbrett Hase",ja,"Schneidebrett in Hasenform aus hochwertigem Massivholz. Liebevoll gefertigt in der Schreinerei Hobel – langlebig und pflegeleicht."
16,"Japanisches Geschirr",ja,"Japanisches Geschirr für den gedeckten Tisch – reduzierte Formen und feine Handwerkskunst. Stilvolles Essgeschirr bei Hobel entdecken."
17,"Osterhase – Eiche",ja,"Osterhase aus massiver Eiche – handgefertigte Frühlingsdeko von Hobel. Schlichtes Holzobjekt, das jedes Jahr aufs Neue Freude bereitet."
18,"Alpnach Glas",ja,"Alpnach Glas – mundgeblasene Trinkgläser für den gedeckten Tisch. Zeitlose Schweizer Glaskunst, jetzt bei Hobel."
19,"Schneidbrett Herz",ja,"Schneidebrett in Herzform aus hochwertigem Massivholz. Handgefertigt in der Schreinerei Hobel – ein schönes Geschenk für die Küche."
20,"Schneidbrett Stern",ja,"Schneidebrett in Sternform aus massivem Holz. Sorgfältig gefertigt von Hobel – langlebig, pflegeleicht und dekorativ zugleich."
21,"Holzvase mit Reagenzglas",ja,"Holzvase mit Reagenzglas – kleine Tischvase aus Massivholz für einzelne Blüten. Handgefertigt von Hobel, ideal als Geschenk."
22,Schneidebrett,ja,"Klassisches Schneidebrett aus hochwertigem Massivholz, in mehreren Grössen erhältlich. Robust und langlebig aus der Schreinerei Hobel."
23,"Schneidbrett mit Griff – Konisch",ja,"Schneidebrett mit konischem Griff aus Massivholz. Praktischer Küchenhelfer, handgefertigt von Hobel – langlebig und pflegeleicht."
24,"Schneidebrett mit Griff – Geschweift",ja,"Schneidebrett mit geschweiftem Griff aus massivem Holz. Handgefertigt in der Schreinerei Hobel – funktional und schön zugleich."
25,"Brotbrett mit Rillen, inklusive Messer",ja,"Brotbrett mit Rillen inkl. Brotmesser Panado. Massivholz-Schneidebrett von Hobel – das Brot schneidet sich beinahe wie von selbst."
26,"Fleischbrett mit Delle + Rille",ja,"Fleischbrett mit Saftrille und Delle aus Massivholz. Stabiler Küchenhelfer für Braten und Fleisch, handgefertigt von Hobel."
27,"Fleischbrett mit Griffmulde",ja,"Fleischbrett mit praktischer Griffmulde aus massivem Holz. Robust und langlebig – handgefertigt in der Schreinerei Hobel."
28,"Fleischbrett gross",ja,"Grosses Fleischbrett aus Massivholz für Braten und Tranchieren. Solide Verarbeitung aus der Schreinerei Hobel – ein Leben lang im Einsatz."
29,"Schneidebrett Stirnholz",ja,"Stirnholz-Schneidebrett aus Massivholz – besonders messerschonend und langlebig. Handgefertigt von Hobel für die anspruchsvolle Küche."
30,"Schneidebrett Klein",ja,"Kleines Schneidebrett aus Massivholz – praktisch für Brot, Käse und Apéro. Handgefertigt von Hobel, ideal als kleines Geschenk."
31,"Schneidebrett rund, mit Rille und Delle",ja,"Rundes Schneidebrett mit Saftrille und Delle aus Massivholz. Praktisch für Fleisch und Käse, handgefertigt in der Schreinerei Hobel."
32,"Schneidebrett rund",ja,"Rundes Schneidebrett aus hochwertigem Massivholz. Vielseitig in Küche und am Tisch, handgefertigt von Hobel – langlebig und pflegeleicht."
33,"Schneidebrett rund, mit Rille",ja,"Rundes Schneidebrett mit umlaufender Saftrille aus Massivholz. Handgefertigt von Hobel – praktisch für Braten, Käse und Apéro."
34,"Schneidebrett rund, mit Griffloch",ja,"Rundes Schneidebrett mit Griffloch aus Massivholz. Praktisch zum Aufhängen und Servieren, handgefertigt in der Schreinerei Hobel."
35,"Pizzabrett mit Griff",ja,"Pizzabrett mit Griff aus Massivholz – ideal zum Schneiden und Servieren von Pizza und Flammkuchen. Handgefertigt von Hobel."
36,Cakebrett,ja,"Cakebrett aus Massivholz – die schöne Unterlage für Kuchen und Cake. Handgefertigt in der Schreinerei Hobel, langlebig und pflegeleicht."
37,Wandersalamibrett,ja,"Wandersalamibrett aus Massivholz – kompaktes Brettchen für Salami und Apéro unterwegs. Handgefertigt von Hobel, ein originelles Geschenk."
38,Weinglashalter,ja,"Weinglashalter aus Holz – hält Glas und Flasche elegant zusammen. Lutz' Lieblingsstück, handgefertigt in der Schreinerei Hobel."
39,Pfannenuntersetzer,ja,"Pfannenuntersetzer aus Massivholz – schützt den Tisch vor heissen Pfannen und Töpfen. Handgefertigt von Hobel, schlicht und langlebig."
40,"Eierbecher - Hagebuche",nein,"Eierbecher aus Hagebuche – fein gefertigt aus heimischem Massivholz. Von Hobel für den liebevoll gedeckten Frühstückstisch."
41,"Tablett Kirschbaum / Schwarz",ja,"Serviertablett aus Kirschbaum mit schwarzem Linoleum von Stefan Zwicky. Vielseitig als Tablett oder Beistelltisch nutzbar. Bei Hobel."
42,"Tablett Ahorn / Blau",ja,"Serviertablett aus Ahorn mit blauem Linoleum, entworfen von Stefan Zwicky. Als Tablett oder Beistelltischchen nutzbar. Bei Hobel."
43,"Tablett – Ahorn / Rot",ja,"Serviertablett aus Ahorn mit rotem Linoleum von Stefan Zwicky. Vielseitig einsetzbar als Tablett oder Beistelltisch. Bei Hobel."
44,"Tablett Ahorn",ja,"Serviertablett ganz aus massivem Ahorn, entworfen von Stefan Zwicky. Als Serviertablett oder Beistelltischchen vielseitig nutzbar. Bei Hobel."
45,"Tablett mit Böckli",ja,"Serviertablett mit höhenverstellbarem Böckli von Stefan Zwicky – wird im Handumdrehen zum Beistelltischchen. Massivholz von Hobel."
46,"Böckli für Tablett, höhenverstellbar",ja,"Höhenverstellbares Böckli aus Holz – macht aus dem Serviertablett ein Beistelltischchen. Passend zu den Tabletts von Hobel."
47,"Vitrine Birnbaum",ja,"Kleine Vitrine aus Birnbaum, auch in Kirschbaum, schwarz oder weiss gebeizt erhältlich. Handgefertigtes Schaukästchen von Hobel."
48,"Vitrinen - Ahorn, schwarz gebeizt",ja,"Vitrine aus Ahorn, schwarz gebeizt – auch in Natur, weiss oder Kirschbaum erhältlich. Handgefertigtes Schaukästchen von Hobel."
49,"Tannenbaum mit Sockel",ja,"Holz-Tannenbaum mit Sockel – schlichte Weihnachtsdeko aus Massivholz. Handgefertigt von Hobel, Jahr für Jahr ein Hingucker."
50,"Tannenbaum gesteckt",ja,"Gesteckter Holz-Tannenbaum aus Massivholz – platzsparende Weihnachtsdeko zum Zusammenstecken. Handgefertigt in der Schreinerei Hobel."
51,"Teelichthalter – Stern",ja,"Teelichthalter in Sternform aus Massivholz – stimmungsvolle Tischdeko für die Adventszeit. Handgefertigt von Hobel."
52,"Teelichthalter 2-teilig",ja,"Zweiteiliger Teelichthalter aus Massivholz – flexibel kombinierbar für warmes Kerzenlicht. Handgefertigt in der Schreinerei Hobel."
53,"Teelichthalter – Herz",nein,"Teelichthalter in Herzform aus Massivholz – stimmungsvolle Deko und schönes Geschenk. Handgefertigt von Hobel."
54,"Stabkerzenhalter Herz",ja,"Stabkerzenhalter in Herzform aus Massivholz – elegante Tischdeko für Stabkerzen. Handgefertigt in der Schreinerei Hobel."
55,"Stern Fichte sägeroh",ja,"Deko-Stern aus sägeroher Fichte – rustikale Weihnachtsdeko aus Massivholz. Handgefertigt von Hobel, drinnen wie draussen schön."
56,Flaschenhalter,nein,"Flaschenhalter aus Holz – präsentiert Ihre Lieblingsflasche stilvoll und sicher. Handgefertigt in der Schreinerei Hobel."
57,"Sitzbank Natura – Nussbaum",ja,"Sitzbank Natura aus massivem Nussbaum – solide, langlebig und schlicht. Klare, reduzierte Formensprache aus der Schreinerei Hobel."
58,"Sitzbank Novatur - Nussbaum",ja,"Sitzbank Novatur aus massivem Nussbaum – filigrane Form mit solider Konstruktion und einzigartigem Holzbild. Handgefertigt von Hobel."
59,"Gartensitzbank - Lärche",ja,"Gartensitzbank aus wetterfester Lärche – robuste Massivholzbank für Garten und Terrasse. Handgefertigt in der Schreinerei Hobel."
60,"Sitzbank – Nussbaum",ja,"Sitzbank aus massivem Nussbaum – zeitlose Begleiterin für Esstisch und Flur. Solide Schweizer Handwerkskunst von Hobel."
61,"Hocker «Novatur»",ja,"Hocker Novatur aus Massivholz – Hocker, Beistelltisch oder Nachttisch in einem. Klare Form aus der Schreinerei Hobel."
62,"Hocker «Novatur», rund",ja,"Runder Hocker Novatur aus Massivholz – vielseitig als Hocker oder Beistelltisch. Handgefertigt in der Schreinerei Hobel."
63,"Hocker Backenzahn",ja,"Hocker Backenzahn aus Massivholz – charaktervoller Sitz- und Beistellhocker mit markanter Form. Handgefertigt von Hobel."
64,"Hockerleiter, 1-Tritt",ja,"Hockerleiter mit einem Tritt aus Massivholz – Hocker und Trittleiter in einem. Praktisch und stabil, handgefertigt von Hobel."
65,"Hockerleiter, 2-Tritt",ja,"Hockerleiter mit zwei Tritten aus Massivholz – praktische Trittleiter und Sitzhocker zugleich. Handgefertigt in der Schreinerei Hobel."
66,Küchenhocker,ja,"Küchenhocker aus massiver Buche, natur oder gebeizt – stabiler Sitzhocker mit sichtbarer Holzstruktur. Handgefertigt von Hobel."
67,Putzkastenhocker,ja,"Putzkastenhocker aus Massivholz – Sitzhocker mit praktischem Stauraum unter dem Deckel. Handgefertigt in der Schreinerei Hobel."
68,Fussschemel,ja,"Fussschemel aus Massivholz – niedriger Hocker zum Ausruhen der Füsse. Schlicht und stabil, handgefertigt von Hobel."
69,"Postkartenhalter Massivholzbrett",ja,"Postkartenhalter aus einem Massivholzbrett – präsentiert Karten und Fotos dekorativ. Handgefertigt in der Schreinerei Hobel."
70,Schirmständer,ja,"Schirmständer aus Massivholz – stabiler Halt für Regenschirme im Eingangsbereich. Handgefertigt von Hobel, schlicht und langlebig."
71,"Sommersitz – Fichte",ja,"Sommersitz aus Fichte – leichter, klappbarer Sitz aus Massivholz für Garten und Balkon. Handgefertigt in der Schreinerei Hobel."
72,"Beistelltisch zu Sommersitz",ja,"Beistelltisch passend zum Sommersitz aus Fichte – praktische Ablage für draussen. Handgefertigt von Hobel."
73,"Gartentisch – Lärche",ja,"Gartentisch aus wetterfester Lärche – robuster Massivholztisch für Garten und Terrasse. Handgefertigt in der Schreinerei Hobel."
74,"Tisch La Maisa – Ahorn und Räuchereiche",ja,"Tisch La Maisa: massive Ahornplatte auf feingliedrigen Beinen mit Streifen aus Räuchereiche und Fingerzinkenverbindung. Von Hobel."
75,"Natura - Ulme",ja,"Tisch Natura aus massiver Ulme mit naturbelassener Baumkante und Stahlbeinen – ein gewachsenes Unikat aus der Schreinerei Hobel."
76,"Tisch Caprea - Elsbeer",ja,"Tisch Caprea aus Elsbeere – grazile Form, vom Reh inspiriert, in alter Schlitzzapfentechnik gefertigt. Massivholz-Unikat von Hobel."
77,"Beizentisch Kirschbaum",ja,"Beizentisch aus massivem Kirschbaum mit geschwungenen Gusseisenfüssen und Karniesprofil. Französisches Flair aus der Schreinerei Hobel."
78,"Linoleumtisch mit schwarzem Gestell",ja,"Linoleumtisch mit schwarzem Gestell – schlichter, robuster Tisch für Esszimmer und Büro. Handgefertigt von Hobel."
79,"Massivholztisch mit Chromstahlfüssen",ja,"Massivholztisch mit Nussbaumplatte und Chromstahlfüssen – warmes Holz trifft kühle Eleganz. Handgefertigt in der Schreinerei Hobel."
80,"Tischfuss Gusseisen, 3-Bein",ja,"Tischfuss aus Gusseisen mit drei Beinen – stabile Basis für Ihre individuelle Tischplatte. Klassische Form von Hobel."
81,"Tischfuss Gusseisen, 4-Bein",ja,"Tischfuss aus Gusseisen mit vier Beinen – solide Basis für individuelle Tischplatten. Klassische Form von Hobel."
82,"Kofferständer - Massivholz",ja,"Kofferständer aus Massivholz – praktische Gepäckablage fürs Gäste- und Schlafzimmer, in mehreren Holzarten erhältlich. Von Hobel."
83,"Regal – Eiche",ja,"Regal aus massiver Eiche – schlichtes Wandregal aus Schweizer Handwerk. Handgefertigt in der Schreinerei Hobel."
84,"Coffee Table",ja,"Coffee Table aus Massivholz – schlichter Couchtisch für Ihr Wohnzimmer. Handgefertigt in der Schreinerei Hobel."
85,"Coffee Table mit Glasplatte",ja,"Coffee Table mit Glasplatte – Massivholzgestell mit edler Glasfläche. Eleganter Couchtisch, handgefertigt von Hobel."
86,"Tischli Tripolino",ja,"Tischli Tripolino aus Fichte – kleiner, leichter Beistelltisch aus Massivholz. Handgefertigt in der Schreinerei Hobel."
87,"Hocker - Tripolino",ja,"Hocker Tripolino aus Fichte natur, unbehandelt – leichter Massivholzhocker, 30 × 30 × 30 cm. Handgefertigt von Hobel."
88,"Lehni – Klapptisch W. Bösiger",ja,"Lehni Klapptisch von W. Bösiger – platzsparender Designklassiker aus Aluminium. Schweizer Designikone, jetzt bei Hobel."
89,"Ulmer Hocker - Fichte natur",ja,"Ulmer Hocker aus Fichte natur mit Kante und Steg in Buche – schlichter Designklassiker aus Massivholz. Handgefertigt von Hobel."
90,Liegestuhl,ja,"Liegestuhl aus Massivholz – klappbarer Klassiker für Garten, Terrasse und Balkon. Handgefertigt in der Schreinerei Hobel."
91,"Liegestuhl – Fussteil",ja,"Fussteil zum Liegestuhl aus Massivholz – verlängert den Liegestuhl zur bequemen Liege. Handgefertigt von Hobel."
92,"Stuhl Laina – Nussbaum",ja,"Stuhl Laina aus massivem Nussbaum – eleganter Massivholzstuhl, in diversen Holzarten erhältlich. Handgefertigt von Hobel."
93,"Barhocker – Schwab + Partner",ja,"Barhocker von Schwab + Partner aus Massivholz, in diversen Holzarten. Stilvolles Sitzen an Theke und Küchentresen. Bei Hobel."
94,"Kindertisch - Buche massiv",ja,"Kindertisch aus massiver Buche, natur lackiert, 60 × 60 cm – robuster Spieltisch für Kinder. Handgefertigt in der Schreinerei Hobel."
95,"Kinderstuhl – Buche",ja,"Kinderstuhl aus massiver Buche – stabiler, kindgerechter Stuhl aus Schweizer Handwerk. Handgefertigt von Hobel."
96,"Spiegel – Chamäleon Design, Profil breit",ja,"Spiegel mit breitem Holzprofil, Chamäleon Design – handgefertigter Rahmenspiegel von Hobel, in verschiedenen Grössen erhältlich."
97,"Spiegel Chamäleon Design, Profil schmal",ja,"Spiegel mit schmalem Holzprofil, Chamäleon Design – schlichter Rahmenspiegel von Hobel, in verschiedenen Grössen erhältlich."
98,Stabkerze,ja,"Stabkerzen in verschiedenen Farben – passend zu den Kerzenhaltern von Hobel. Stimmungsvolles Licht für den gedeckten Tisch."
99,Filzunterlage,ja,"Filzunterlage für den Tisch – schützt und schmückt den gedeckten Tisch. In verschiedenen Ausführungen bei Hobel erhältlich."
100,"Sola «Baguette»",ja,"Besteck Sola «Baguette» – zeitloses Tafelbesteck aus Edelstahl für den gedeckten Tisch. Jetzt bei Hobel."
101,Mono,ja,"Besteck Mono – ikonisches, reduziertes Designbesteck für den gedeckten Tisch. Zeitloser Klassiker bei Hobel."
102,"Pott «33»",ja,"Besteck Pott 33 – preisgekröntes Designbesteck aus Edelstahl. Klare Formensprache für den gedeckten Tisch. Bei Hobel."
103,"Stelton Isolierkanne EM77",ja,"Stelton Isolierkanne EM77 – dänischer Designklassiker, hält Getränke heiss und kalt. In mehreren Farben bei Hobel."
104,"Stelton «Theo»",ja,"Stelton «Theo» – stilvolle Tee- und Kaffeekanne im skandinavischen Design. Für den gedeckten Tisch, bei Hobel."
105,"Stelton Emma – Isolierkanne Tee",ja,"Stelton Emma Isolierkanne für Tee – skandinavisches Design, hält Ihren Tee lange warm. Jetzt bei Hobel."
106,"Stelton Emma – Wasserkocher",ja,"Stelton Emma Wasserkocher – eleganter Wasserkocher im skandinavischen Design für die stilvolle Küche. Bei Hobel."
107,"Tischfuss Gusseisen, 2-Bein",ja,"Tischfuss aus Gusseisen mit zwei Beinen – stabile Bockbasis für Ihre individuelle Tischplatte. Klassische Form von Hobel."
108,"Pillivuyt «Quartet»",nein,"Pillivuyt «Quartet» – feines französisches Porzellan für den gedeckten Tisch. Zeitloses Tafelgeschirr bei Hobel."
109,"Pillivuyt «Cecil»",ja,"Pillivuyt «Cecil» – elegantes französisches Porzellan in klassischer Form. Tafelgeschirr für den gedeckten Tisch bei Hobel."
110,"Pillivuyt «Eden»",ja,"Pillivuyt «Eden» – feines französisches Porzellan mit klaren Linien. Stilvolles Tafelgeschirr für jeden Anlass. Bei Hobel."
111,"Pillivuyt - Schüssel Eden - hellblau",nein,"Pillivuyt Schüssel Eden in Hellblau, Ø 16 cm – feines französisches Porzellan für den gedeckten Tisch. Bei Hobel."
112,"Pillivuyt – Salatschüssel klassisch",ja,"Pillivuyt Salatschüssel in klassischer Form – feines französisches Porzellan für Salat und mehr. Bei Hobel."
113,"Pillivuyt – Gratinform",ja,"Pillivuyt Gratinform aus französischem Porzellan – ofenfest und elegant für Gratins und Aufläufe. Bei Hobel."
114,"IPA «Milano»",ja,"IPA «Milano» – italienische Gläser für Wein und Wasser. Zeitlose Tischkultur für den gedeckten Tisch. Bei Hobel."
115,"IPA «Genova»",ja,"IPA «Genova» – italienische Gläser in klarer Form für Wasser und Wein. Stilvolle Tischkultur bei Hobel."
116,"Pillivuyt «Louna»",ja,"Pillivuyt «Louna» – feines französisches Porzellan mit zeitlosem Design. Tafelgeschirr für den gedeckten Tisch. Bei Hobel."
117,"Pillivuyt – Platte oval",ja,"Pillivuyt Servierplatte oval aus französischem Porzellan – elegant für Vorspeisen, Fleisch und Gebäck. In mehreren Grössen bei Hobel."
118,"Pillivuyt «Sabot»",ja,"Pillivuyt «Sabot» – feines französisches Porzellan in charaktervoller Form. Tafelgeschirr für den gedeckten Tisch. Bei Hobel."
119,"Rahmen HZ – Aluminum",ja,"Bilderrahmen HZ aus Aluminium – schlichter, moderner Wechselrahmen für Bilder und Poster. In mehreren Grössen bei Hobel."
120,"Rahmen HZ – Holz",ja,"Bilderrahmen HZ aus Holz – feines Profil in Koto, Eiche oder Birke für Bilder und Kunstdrucke. Handgefertigt von Hobel."
121,"Rahmen HZ - Räuchereiche",ja,"Bilderrahmen HZ aus Räuchereiche – warmes, dunkles Holzprofil für Bilder und Fotos. Handgefertigt in der Schreinerei Hobel."
122,"Rahmen HZ – Weiss geschlämmt",ja,"Bilderrahmen HZ in Weiss geschlämmt – helles Holzprofil mit lebendiger Maserung für Bilder. Handgefertigt von Hobel."
123,"Rahmen Lehni",ja,"Bilderrahmen Lehni – schlichter Designrahmen für Bilder und Kunst. In verschiedenen Grössen bei Hobel erhältlich."
124,"Rahmen Hofmänner",ja,"Bilderrahmen Hofmänner aus Holz – klassisches Profil für Ihre Bilder und Fotos. Handgefertigt von Hobel, in mehreren Grössen."
125,"Pillivuyt – Kuchenform rund, gerippt",ja,"Pillivuyt Kuchenform rund, gerippt – ofenfestes französisches Porzellan für Kuchen und Tartes. Bei Hobel."
126,"Pillivuyt «Eden»",ja,"Pillivuyt «Eden» – feines französisches Porzellan mit zeitloser Eleganz. Tafelgeschirr für den gedeckten Tisch. Bei Hobel."
127,"Pillivuyt «Sancerre»",ja,"Pillivuyt «Sancerre» – charmantes französisches Porzellan mit feinem Relief. Tafelgeschirr für den gedeckten Tisch. Bei Hobel."
128,"Pillivuyt «Sancerre» – Milchkrug",ja,"Pillivuyt «Sancerre» Milchkrug aus französischem Porzellan – feines Relief, ideal für Milch und Rahm. Bei Hobel."
129,"Pillivuyt «Cécil»",ja,"Pillivuyt «Cécil» – elegantes französisches Porzellan in klassischer Form. Zeitloses Tafelgeschirr für den gedeckten Tisch. Bei Hobel."
130,"Pillivuyt – Buttergeschirr mit Deckel",ja,"Pillivuyt Buttergeschirr mit Deckel aus französischem Porzellan – hält Butter frisch und stilvoll auf dem Tisch. Bei Hobel."
131,"Costa Nova – Schalen und Krug",ja,"Costa Nova Schalen und Krug – mediterranes Steingut für den gedeckten Tisch. Mediterrane Tischkultur bei Hobel."
132,"Iittala «Teema» – Grau",ja,"Iittala «Teema» in Grau – zeitloses finnisches Geschirr von Kaj Franck. Kombinierbares Tafelgeschirr für jeden Tag. Bei Hobel."
133,"Iittala «Teema» – Farbig",ja,"Iittala «Teema» in Farbe – ikonisches finnisches Geschirr von Kaj Franck. Fröhliche Tischkultur zum Kombinieren. Bei Hobel."
134,"Iittala «Origo» – Gestreift, beige",ja,"Iittala «Origo», beige gestreift – verspieltes finnisches Designgeschirr von Alfredo Häberli. Tischkultur bei Hobel."
135,"Iittala «Origo» – Gestreift, orange",ja,"Iittala «Origo», orange gestreift – fröhliches finnisches Designgeschirr von Alfredo Häberli. Tischkultur bei Hobel."
136,"Hergiswiler – Vase Lipari",ja,"Hergiswiler Vase Lipari – mundgeblasenes Schweizer Glas in klarer Form. Glaskunst aus der Innerschweiz, bei Hobel."
137,"Hergiswiler – Vase Stromboli",ja,"Hergiswiler Vase Stromboli – mundgeblasenes Schweizer Glas mit elegantem Schwung. Glaskunst aus Hergiswil, bei Hobel."
138,"Hergiswiler Budelle",ja,"Hergiswiler Budelle – mundgeblasene Karaffe aus Schweizer Glas. Zeitlose Glaskunst aus Hergiswil für den gedeckten Tisch. Bei Hobel."
139,"Hergiswiler Annakelche",ja,"Hergiswiler Annakelche – mundgeblasene Trinkgläser aus Schweizer Glas. Feine Glaskunst aus Hergiswil, bei Hobel."
140,"Hergiswiler Becher",ja,"Hergiswiler Becher – mundgeblasenes Schweizer Glas für Wasser, Saft und Wein. Glaskunst aus Hergiswil, bei Hobel."
141,"Iittala «Aino Aalto», 0.22 lt",ja,"Iittala «Aino Aalto» Glas, 0.22 lt – finnischer Designklassiker mit charakteristischen Ringen. Zeitlose Tischkultur bei Hobel."
142,"Iittala «Aino Aalto», 0.33 lt",ja,"Iittala «Aino Aalto» Glas, 0.33 lt – finnischer Designklassiker mit Wellenmuster. Zeitlose Tischkultur bei Hobel."
143,"Massivholz Tischplatte – rund",ja,"Runde Massivholz-Tischplatte nach Mass, Ø 80–200 cm, natur lackiert oder geölt – in mehreren Holzarten konfigurierbar. Von Hobel."
144,"Massivholz Tischplatte – rechteckig",ja,"Rechteckige Massivholz-Tischplatte nach Mass, bis 300 cm Länge, geölt oder lackiert – individuell konfigurierbar. Von Hobel."
145,"Küchenhocker Lättli",ja,"Küchenhocker Lättli aus Massivholz – leichter Sitzhocker mit Lattensitz. Handgefertigt in der Schreinerei Hobel."
146,Novatur,ja,"Tisch Novatur nach Mass – massiver Esstisch in Ahorn, Esche, Kirschbaum, Nussbaum oder Ulme. Filigrane Form, konfigurierbar bei Hobel."
147,"Extenso Eisbuche",ja,"Tisch Extenso aus Eisbuche – ausziehbarer Massivholztisch für flexible Tafelrunden. Handgefertigt in der Schreinerei Hobel."
148,"Triangolin – Nussbaum",ja,"Tisch Triangolin aus Nussbaum mit natürlicher Baumkante und Stahlfuss – ein tänzerisches Massivholz-Unikat von Hobel."
149,"Tablett – Eiche / Schwarz",ja,"Serviertablett aus Eiche mit schwarzem Linoleum von Stefan Zwicky. Als Tablett oder Beistelltisch nutzbar. Bei Hobel."
150,"Tablett – Eiche",ja,"Serviertablett ganz aus massiver Eiche, entworfen von Stefan Zwicky. Vielseitig als Serviertablett oder Beistelltischchen. Bei Hobel."
151,"Tablett – Nussbaum",ja,"Serviertablett ganz aus massivem Nussbaum von Stefan Zwicky. Als Serviertablett oder Beistelltisch vielseitig nutzbar. Bei Hobel."
152,"Tablett – Kirschbaum / Blau",ja,"Serviertablett aus Kirschbaum mit blauem Linoleum von Stefan Zwicky. Vielseitig als Tablett oder Beistelltisch. Bei Hobel."
153,"Tablett – Kirschbaum",ja,"Serviertablett ganz aus massivem Kirschbaum von Stefan Zwicky. Als Serviertablett oder Beistelltischchen nutzbar. Bei Hobel."
154,"Tablett – Birnbaum",ja,"Serviertablett ganz aus massivem Birnbaum von Stefan Zwicky. Vielseitig als Serviertablett oder Beistelltisch. Bei Hobel."
155,"Tablett – Birnbaum / Schwarz",ja,"Serviertablett aus Birnbaum mit schwarzem Linoleum von Stefan Zwicky. Als Tablett oder Beistelltisch nutzbar. Bei Hobel."
156,"Tablett – Ahorn / Schwarz",ja,"Serviertablett aus Ahorn mit schwarzem Linoleum von Stefan Zwicky. Vielseitig als Tablett oder Beistelltisch. Bei Hobel."
157,"Höhenverstellbares Pult – Linoleum blau",ja,"Höhenverstellbares Stehpult mit blauer Linoleumfläche, inkl. Induktionsladen und Steckdosen. Gefertigt in der Schreinerei Hobel."
158,"Höhenverstellbares Pult – Eiche massiv",ja,"Höhenverstellbares Stehpult mit Fläche aus massiver Eiche, inkl. Induktionsladen und Steckdosen. Gefertigt in der Schreinerei Hobel."
159,"Höhenverstellbares Pult – Kunstharz graphitschwarz",ja,"Höhenverstellbares Stehpult mit graphitschwarzer Kunstharzfläche, inkl. Induktionsladen und Steckdosen. Von der Schreinerei Hobel."
